,indonesian,javanese
759,3.1.2.2.4 Program Penggemukan Sapi Pusat Koperasi Unit Desa (Puskud),3.1.2.2.4 Program panglemon sapi puser Koperasi Unit desa (Puskud)
760,Program penggemukan sapi yang dikelola oleh Pusat Koperasi Unit Desa (Puskud) mulai dilaksanakan pada 2002,Program panglemon sapi sing dikelola saka puser Koperasi Unit desa (Puskud) anyak dianakne nang 2002
761,Program ini ditangani langsung oleh pengurus Puskud Kupang tanpa melibatkan koperasi unit desa (KUD) dan pemerintah daerah,Program iki ditangani teras saka panggering Puskud Kupang tanpa melibatkan koperasi unit desa (KUD) lan pamerentah daerah 
762,"Untuk pengadaan bibit sapi (bakalan), Puskud memperoleh modal dari Nation Cooperation Business Association (NCBA)","kanggo pangaanan bibit sapi (bakalan), Puskud nyaka modal saka Nation Cooperation Business Association (NCBA)"
763,Program ini diharapkan dapat mengembalikan citra NTT sebagai gudang ternak,Program iki diharapkan bisa mbalekne citra NTT dadi gudang ingon-ingon
764,Keberhasilan program Puskud di tahun pertama telah mendorong kegiatan lanjutan,kekedadeyanan program Puskud neng taun pisan wis nyurung kemempengan banjuran
765,Permintaan peternak untuk ikut dalam kegiatan ini sangat tinggi,panjaluk pangingon-ingon kanggo melu jero kemempengan iki dhuwur banget
766,"Pada 2002 Puskud menyalurkan 500 sapi bakalan, pada 2003 sekitar 2.000 bakalan, dan pada 2004 mencapai 5.000 bakalan","nang 2002 Puskud menyalurkan 500 sapi bakalan, nang 2003 sekitar 2.000 bakalan, lan nang 2004 mencapai 5.000 bakalan "
767,Program sejenis juga dilakukan beberapa pedagang ternak di Kupang,Program sawarna uga dilakoke beberapa pandagang ingon-ingon neng Kupang
768,"Namun, mereka sepenuhnya menyerahkan usaha ini kepada peternak, tanpa menyediakan pendamping","ning, dekne kabeh sakebake ngabangna upadi iki marang pangingon-ingon, tanpa nyawiske pendamping"
769,"Akibatnya, hasilnya lebih rendah dibanding hasil program Puskud","pamburine, pakolehe luwih cendhek dibanding pakoleh program Puskud"
770,3.2 Pelayanan Lembaga Nonformal (LKM yang Dikelola LSM),3.2 ladenan Lembaga Nonformal (LKM sing Dikelola LSM)
771,Beberapa kegiatan LSM tersebut secara langsung dan tidak langsung berkaitan dengan penyediaan layanan keuangan mikro,Beberapa kemempengan LSM kesebut sacara teras lan ora teras berkaitan karo penyediaan laden kedhuwitan mikro 
772,"Mereka adalah Tanaoba Lais Manekat (TLM), Yayasan Pengembangan Pesisir dan Laut (YPPL), dan UBSP Tunas Jaya","dekne kabeh yaiku Tanaoba Lais Manekat (TLM), Yayasan Pengembangan panjungkat lan segara (YPPL), lan UBSP Tunas Jaya"
773,Berikut ini adalah gambaran singkat mengenai LSM yang menyediakan pelayanan keuangan mikro tersebut,iki iki yaiku gambaran singkat ngenani LSM sing nyawiske ladenan kedhuwitan mikro kesebut
774,3.2.1 Yayasan Tanaoba Lais Manekat (TLM) - Kabupaten Kupang,3.2.1 Yayasan Tanaoba Lais Manekat (TLM) - Kabupaten Kupang
775,Yayasan TLM dibentuk oleh gereja dengan tugas membantu mengembangkan kegiatan ekonomi masyarakat untuk mengurangi,Yayasan TLM dibentuk saka gereja karo tugas ngewangi mengembangkan kemempengan ekonomi masyarakat kanggo ngurangi 
776,"Untuk kredit kepada kelompok, anggota setiap kelompok SPUP dibatasi 5 orang dengan sistem pengembalian tanggung renteng","kanggo kredit marang kelompok, anggota saben kelompok SPUP diwatesi 5 wong karo sistem pambalen tanggung renteng "
777,"TLM mensyaratkan calon peminjam memiliki usaha, berdomisili tetap dan memiliki tabungan pada TLM","TLM mensyaratkan calon panyilih nduweni upadi, berdomisili tetap lan nduweni tabungan nang TLM"
778,Angsuran ditarik oleh petugas TLM dengan cara mendatangi nasabah ke rumah atau ke tempat usahanya,Angsuran digeret saka panugas TLM karo cara nekani nasabah menyang omah utawa menyang panggon upadine
779,"Saat ini wilayah operasi TLM meliputi kawasan Timor Barat, Rote, dan Alor, dan semuanya dilayani melalui 10 kantor cabangnya","wektu iki wilayah operasi TLM meliputi kawasan Timor kulon, Rote, lan Alor, lan kabehe diladeni liwat 10 kantor cabangnya "
780,Jumlah nasabah aktif sekitar 13.000 orang yang didampingi sekitar 13 orang staf lapangan,cacah nasabah aktif sekitar 13.000 wong sing didampingi sekitar 13 wong staf lapangan
781,Setiap staf lapangan mendampingi sekitar 275 nasabah,saben staf lapangan mendampingi sekitar 275 nasabah
782,"Outstanding loan per Juli 2004 mencapai Rp7,5 miliar dengan rata-rata penyaluran kredit Rp20 miliar/tahun","Outstanding loan saben Juli 2004 mencapai Rp7,5 miliar karo rata-rata penyaluran kredit Rp20 miliar/taun"
783,"Kegiatan TLM mendapat dukungan dana dan pendampingan teknis dari berbagai lembaga dari Eropa, Amerika dan Australia","kemempengan TLM mbisa dukungan dana lan pendampingan teknis saka macem-macem lembaga saka Eropa, Amerika lan Australia "
784,3.2.2 Yayasan Alfa Omega (YAO) - Kabupaten Kupang,3.2.2 Yayasan Alfa Omega (YAO) - Kabupaten Kupang
785,"Berkaitan dengan keuangan mikro, ada dua macam kegiatan yang dilakukan oleh YAO","Berkaitan karo kedhuwitan mikro, ana loro macam kemempengan sing dilakoke saka YAO"
786,Kredit yang diberikan sesuai permohonan dengan kisaran antara Rp75 juta sampai Rp100 juta,Kredit sing diwenehna padha permohonan karo kisaran antara Rp75 yuta nganti Rp100 yuta
787,Pengembalian kredit ini dicicil selama 10 bulan dengan bunga 0.75% per bulan,pambalen kredit iki dicicil sajrone 10 bulan karo kembang 0.75% saben bulan
788,Saat ini kegiatan pendampingan tersebut lebih banyak diserahkan pada LSM lokal bentukan YAO yang tersebar di 6 kabupaten,wektu iki kemempengan pendampingan kesebut luwih akeh diserahkan nang LSM lokal bentukan YAO sing kesebar neng 6 kabupaten 
789,"Kabupaten Kupang, Kota Kupang, Kabupaten Belu, Kabupaten Alor, Kabupaten Rote dan Kabupaten Timor Tengah Selatan","Kabupaten Kupang, kutha Kupang, Kabupaten Belu, Kabupaten Alor, Kabupaten Rote lan Kabupaten Timor tengah kidul"
790,Kegiatan pelayanan langsung pada masyarakat dilakukan oleh unit Lembaga Keuangan Mikro YAO,kemempengan ladenan teras nang masyarakat dilakoke saka unit Lembaga kedhuwitan Mikro YAO
791,"Sasaran dari LKM YAO ini adalah masyarakat kelas bawah yang tidak mempunyai agunan, dan khususnya kaum perempuan","Sasaran saka LKM YAO iki yaiku masyarakat kelas ngisor sing ora nduweni agunan, lan khususnya kaum wadon"
792,"Saat ini LKM menyediakan dua skema kredit, yaitu kredit dengan pembayaran bulanan dan kredit dengan pembayaran harian","wektu iki LKM nyawiske loro skema kredit, yaiku kredit karo pembayaran bulanan lan kredit karo pembayaran bedinan "
793,"Wilayah yang dicakup LKM YAO ini meliputi Kabupaten Kupang, Kabupaten Timor Tengah Utara (TTU) Kabupaten Belu","Wilayah sing dicakup LKM YAO iki meliputi Kabupaten Kupang, Kabupaten Timor tengah lor (TTU) Kabupaten Belu"
794,Jumlah nasabah yang dilayani sekitar 300 orang yang mengambil kredit harian dan sekitar 300 orang yang mengambil kredit bul,cacah nasabah sing diladeni sekitar 300 wong sing njupuk kredit bedinan lan sekitar 300 wong sing njupuk kredit bul 
795,Semua staf ini dibiayai sendiri oleh LKM dan keuntungan bunga yang disetorkan sudah dapat menutup biaya operasional LKM,kabeh staf iki dibiayai dhewe saka LKM lan keuntungan kembang sing disetorkan wis bisa menutup biaya operasional LKM 
796,"Proporsi tingkat kemacetan relatif kecil, yaitu antara 5%-10%","Proporsi tingkat kemacetan relatif cilik, yaiku antara 5-10 "
797,"Kegiatan LKM YAO didanai terutama dari modal yang disisihkan dari YAO, ditambah dengan dana hibah dari NZAID","kemempengan LKM YAO didanai paling utama saka modal sing disisihkan saka YAO, ditambah karo dana hibah saka NZAID"
798,Dukungan lain yang diperoleh LKM ini adalah berupa pelatihan dari NZAID dan dari JICA,Dukungan liya sing disakakne LKM iki yaiku ngrupa panglatian saka NZAID lan saka JICA
799,3.2.3 Yayasan Pengembangan Pesisir dan Pantai (YPPL) - Kabupaten Kupang,3.2.3 Yayasan Pengembangan panjungkat lan Pantai (YPPL) - Kabupaten Kupang
800,"Sasaran program yayasan ini meliputi masyarakat pesisir di Teluk Kupang, Pantai Utara TTS dan Pantai Selatan Belu","Sasaran program yayasan iki meliputi masyarakat panjungkat neng Teluk Kupang, Pantai lor TTS lan Pantai kidul Belu"
801,Kegiatan YPPL mendapat dukungan dari beberapa lembaga donor dan dari pemerintah,kemempengan YPPL mbisa dukungan saka beberapa lembaga donor lan saka pamerentah
802,YPPL antara lain mendapat dukungan dana hibah dari COREMAP AusAID pada 1998,YPPL antara liya mbisa dukungan dana hibah saka COREMAP AusAID nang 1998
803,"Yayasan Sanlima mempunyai tiga program utama, yaitu penelitian, demokrasi dan masyarakat miskin, dan ekonomi rakyat","Yayasan Sanlima nduweni telu program utama, yaiku penelitian, demokrasi lan masyarakat miskin, lan ekonomi rakyat"
804,"Dalam program ekonomi rakyat, sejak 1999 Yayasan Sanlima memberikan kredit dalam satu paket dengan pendampingan usaha","jero program ekonomi rakyat, ket 1999 Yayasan Sanlima menehake kredit jero siji paket karo pendampingan upadi "
805,Saat ini ada 36 kelompok yang didampingi dan 16 di antaranya berada di Kabupaten dan Kota Kupang,wektu iki ana 36 kelompok sing didampingi lan 16 neng antarane ana ing Kabupaten lan kutha Kupang
806,Pendampingan usaha diberikan dalam bentuk pelatihan manajemen dan keuangan,Pendampingan upadi diwenehna jero bentuk panglatian manajemen lan kedhuwitan
807,Sedangkan kredit diberikan kepada kelompok yang terdiri dari 6-10 orang dengan sistem tanggung-renteng (lihat Kotak 3.8.),lagekne kredit diwenehna marang kelompok sing awak saka 6-10 wong karo sistem tanggung-renteng (delok Kotak 3.8.) 
808,"Kredit yang didanai ASPUK tidak ada yang macet, sedangkan yang lainnya mempunyai tingkat kemacetan antara 5%-10%","Kredit sing didanai ASPUK ora ana sing macet, lagekne sing liyane nduweni tingkat kemacetan antara 5-10"
809,Kemacetan pengembalian pada umumnya disebabkan karena fluktuasi harga yang merugikan usaha anggota kelompok,Kemacetan pambalen nang umumnya diamergakne amarga fluktuasi rega sing nunakne upadi anggota kelompok
810,Kemacetan bisa dihindari dengan menerapkan skema yang sangat fleksibel sesuai dengan kemampuan nasabah,Kemacetan bisa dihindari karo ngerepake skema sing fleksibel banget padha karo kabisan nasabah
811,Biaya untuk kegiatan berasal dari dana pendampingan yang diberikan oleh YIS Solo dan ASPUK,Biaya kanggo kemempengan asale saka dana pendampingan sing diwenehna saka YIS Solo lan ASPUK
812,Saat ini hanya ada satu orang pendamping yang gajinya dibayar dari bunga kredit 10 kelompok yang didampinginya,wektu iki mung ana siji wong pendamping sing opah e dibayar saka kembang kredit 10 kelompok sing didampinginya
813,3.2.5 Yayasan Delsos - Kabupaten Manggarai,3.2.5 Yayasan Delsos - Kabupaten Manggarai
814,Delsos merupakan bagian dari keuskupan yang mengemban tugas pengembangan masyarakat,Delsos ngrupakne kanggonan saka keuskupan sing mengemban tugas pengembangan masyarakat
815,Dana PSE-KWI pada umumnya diberikan kepada kelompok-kelompok usaha yang telah mendapat bimbingan ketrampilan dari,Dana PSE-KWI nang umumnya diwenehna marang kelompok-kelompok upadi sing wis mbisa bimbingan ketrampilan saka 
816,Kelompok-kelompok tersebut mengajukan proposal ke Delsos,Kelompok-kelompok kesebut ngajokake proposal menyang Delsos
817,"Untuk pengajuan kredit Rp1 juta-Rp2 juta, permohonan diajukan ke Delsos dengan rekomendasi pastur paroki","kanggo pangajon kredit Rp1 yuta-Rp2 yuta, permohonan diajokake menyang Delsos karo rekomendasi pastur paroki"
818,Sedangkan pengajuan kredit Rp2 juta-Rp25 juta diajukan ke KWI dengan rekomendasi pastur dan Delsos,lagekne pangajon kredit Rp2 yuta-Rp25 yuta diajokake menyang KWI karo rekomendasi pastur lan Delsos
819,Pinjaman bagi anggota koperasi dikenakan bunga 2% per bulan dengan jangka waktu satu tahun,silihan kanggo anggota koperasi dienggo kembang 2% saben bulan karo arah wayah siji taun
820,"Pada 2000, Koperasi Delsos mendapat bantuan dari Dana Kompensasi Subsidi BBM sebanyak Rp100 juta","nang 2000, Koperasi Delsos mbisa bantuan saka Dana Kompensasi subsidi BBM saakeh Rp100 yuta"
821,Dana ini harus dikembalikan dalam jangka waktu 10 tahun mulai 2005,Dana iki kudu dibalekne jero arah wayah 10 taun anyak 2005
822,Dana tersebut merupakan dana bergulir dengan bunga 16% per tahun,Dana kesebut ngrupakne dana bergulir karo kembang 16% saben taun
823,Sebagian dari dana inilah yang digunakan untuk meningkatkan kredit yang disalurkan pada anggota koperasi,sakanggonan saka dana iki sing digunakne kanggo ningkatake kredit sing disalurkan nang anggota koperasi
824,3.2.6 UBSP Tunas Jaya - Kabupaten Manggarai,3.2.6 UBSP Tunas Jaya - Kabupaten Manggarai
825,"Kegiatan kelompok juga digunakan sebagai media pemberdayaan, misalnya mengenai jender dan kekerasan terhadap perempu","kemempengan kelompok uga digunakne dadi ndheweke pemberdayaan, kaya ta ngenani jender lan katosan adhep perempu "
826,Tidak semua UBSP bisa menerima kredit tersebut,ora kabeh UBSP bisa nrima kredit kesebut
827,"Kredit diberikan pada UBSP yang dianggap layak, baik dari segi modal, kehadiran anggota maupun kelancaran kredit mereka sendiri","Kredit diwenehna nang UBSP sing dianggep prayoga, becik saka segi modal, ketekan anggota arepa kelancaran kredit dekne kabeh dhewe "
828,Pemberian kredit juga sangat dibatasi oleh kemampuan keuangan Tunas Jaya dan pengembalian dari UBSP penerima kredit,paweweh kredit uga diwatesi banget saka kabisan kedhuwitan Tunas Jaya lan pambalen saka UBSP panampa kredit
829,"Hingga saat ini, ada sekitar 20 UBSP yang masih didampingi","nganti wektu iki, ana sekitar 20 UBSP sing isih didampingi"
830,"Kegiatan Tunas Jaya ini didukung oleh 8 staf, yaitu 3 petugas di kantor dan 5 orang petugas lapangan","kemempengan Tunas Jaya iki didukung saka 8 staf, yaiku 3 panugas neng kantor lan 5 wong panugas lapangan"
831,"Selain itu, hubungan antara UBSP dengan Tunas Jaya dilakukan melalui relawan dari masing-masing UBSP","kajaba kuwi, hubungan antara UBSP karo Tunas Jaya dilakoke liwat relawan saka masing-masing UBSP"
832,Pinjaman pokok harus dikembalikan mulai 2005 dengan dicicil selama 10 tahun,silihan baku kudu dibalekne anyak 2005 karo dicicil sajrone 10 taun
833,Status lembaga ini adalah Lembaga Keuangan Mikro atau Pra-Koperasi,Status lembaga iki yaiku Lembaga kedhuwitan Mikro utawa Pra-Koperasi
834,Hampir semua dinas/instansi memiliki program atau kegiatan penyaluran dana bergulir sesuai bidang yang menjadi kewenangannya,Hampir kabeh dinas/instansi nduweni program utawa kemempengan penyaluran dana bergulir padha bidang sing dadi kewenangannya 
835,Penyaluran dana melalui pendekatan sektoral ini memudahkan pemda dalam membagi proyek untuk setiap dinas/instansi,Penyaluran dana liwat panyedhakan sektoral iki miske pemda jero nganggo proyek kanggo saben dinas/instansi
836,"Pokmas, koperasi, dan LKM kemudian menyalurkan dana kepada anggota masing-masing","Pokmas, koperasi, lan LKM banjur menyalurkan dana marang anggota masing-masing"
837,"Namun, dalam praktiknya tujuan pembentukan kelompok sering kali tidak tercapai","ning, jero praktiknya tujuan pambentukan kelompok ping kerep ora tercapai"
838,Dinas Koperasi dan UKM berperan dalam penyaluran bantuan modal kepada lembaga keuangan di perdesaan,Dinas Koperasi lan UKM nyaben jero penyaluran bantuan modal marang lembaga kedhuwitan neng pandesan
839,Namun dinas ini juga menyalurkan dana kepada masyarakat perseorangan terutama kepada pengusaha kecil dan menengah,ning dinas iki uga menyalurkan dana marang masyarakat perseorangan paling utama marang pangupadi cilik lan nengah
840,"Di Kabupaten Manggarai, Dinas Koperasi dan UKM juga menyalurkan bantuan modal kepada LPD/LPK dan kelompok UBSP","neng Kabupaten Manggarai, Dinas Koperasi lan UKM uga menyalurkan bantuan modal marang LPD/LPK lan kelompok UBSP"
841,3.3.1.2 Sumber Dana dan Bentuk Kredit Program,3.3.1.2 Sumber Dana lan bentuk Kredit Program
842,"Dana pelayanan kredit mikro bersumber dari APBD provinsi, APBD kabupaten/kota, dan APBN (dana dekonsentrasi)","Dana ladenan kredit mikro bersumber saka APBD provinsi, APBD kabupaten/kutha, lan APBN (dana dekonsentrasi) "
843,"Dalam hal ini, pemerintah kabupaten hanya diminta rekomendasi saat penentuan daerah dan sasaran penerima","jero hal iki, pamerentah kabupaten mung dijaluk rekomendasi wektu penentuan daerah lan sasaran panampa"
844,"Selain itu, ada juga program pusat yang didanai APBN yang sepenuhnya menjadi tanggung jawab dinas teknis kabupaten","kajaba kuwi, ana uga program puser sing didanai APBN sing sakebake dadi tanggung jawab dinas teknis kabupaten"
845,Hal ini mencakup program di sektor perikanan dan kelautan,Hal iki mencakup program neng sektor iwakan lan kesegaran
846,Dalam kaitan ini alokasi APBD provinsi adalah untuk melengkapi kegiatan yang telah didanai APBN,jero kaitan iki alokasi APBD provinsi yaiku kanggo mepaki kemempengan sing wis didanai APBN
847,"Selain itu, Pemprov NTT mengalokasikan dana untuk penyertaan modal di Bank NTT","kajaba kuwi, Pemprov NTT mengalokasikan dana kanggo penyertaan modal neng Bank NTT"
848,"Di tingkat kabupaten, dinas/instansi pelaksana penyaluran dana bergulir tidak berbeda dengan tingkat provinsi","neng tingkat kabupaten, dinas/instansi pangana penyaluran dana bergulir ora beda karo tingkat provinsi"
849,Sedangkan Dinas Perikanan dan Kelautan menyalurkan dana PEMP dari APBN yang jumlahnya juga cukup besar,lagekne Dinas iwakan lan kesegaran menyalurkan dana PEMP saka APBN sing cacahe uga cukup gedhe
850,Kredit program disalurkan oleh instansi pelaksana dalam bentuk uang dan/atau natura,Kredit program disalurkan saka instansi pangana jero bentuk dhuwit lan/utawa natura
851,"Namun, pada prinsipnya semua bentuk dana tersebut seharusnya digulirkan","ning, nang prinsipnya kabeh bentuk dana kesebut sakudune digulirkan"
852,Pembentukan kelompok kebanyakan hanya berfungsi untuk memperlancar penyaluran dan pengembalian dana,pambentukan kelompok kokehan mung nduwe guna kanggo memperlancar penyaluran lan pambalen dana
853,Wilayah yang telah menerima cukup banyak program bantuan tidak ditetapkan menjadi prioritas,Wilayah sing wis nrima cukup akeh program bantuan ora ditetapkan dadi prioritas
854,Hanya koperasi dan lembaga keuangan yang dinilai sehat yang diberi bantuan modal,mung koperasi lan lembaga kedhuwitan sing diaji waras sing diwenehi bantuan modal
855,Karena itu mereka akan memilih kelompok yang telah mempunyai reputasi baik,amarga kuwi dekne kabeh arep mileh kelompok sing wis nduweni reputasi becik
856,"Sementara itu, pinjaman yang diberikan kepada petani, pekebun, dan nelayan cenderung lebih banyak yang kurang lancar","Sementara kuwi, silihan sing diwenehna marang petani, pangebon, lan nelayan cenderung luwih akeh sing kurang lancar"
857,"Kegiatan usaha budidaya tanaman pangan, perkebunan, dan penangkapan/budidaya perikanan tergantung kondisi alam","kemempengan upadi budidaya tanduran pangan, kebonan, lan panangkepan/budidaya iwakan tergantung kondisi alam"
858,Fungsi dinas/instansi sebagai pembina masyarakat berbenturan dengan fungsi sebagai penekan dalam upaya pengembalian kredit,guna dinas/instansi dadi pembina masyarakat ndadug karo guna dadi panyakake jero upaya pambalen kredit 
859,3.3.2 Upaya Pengembangan Lembaga Keuangan Mikro di Tingkat Desa,3.3.2 Upaya Pengembangan Lembaga kedhuwitan Mikro neng tingkat desa
860,Lembaga semacam ini sudah cukup lama dikenal di provinsi lain seperti di Bali dan di Jawa Timur (lihat Bab 2),Lembaga sak-werna iki wis cukup suwe dikenal neng provinsi liya kaya neng Bali lan neng Jawa wetan (delok Bab 2)
861,"Sampai saat ini, jangkauan pelayanan LPD/LPK masih terbatas karena kurangnya dana","nganti wektu iki, jangkauan ladenan LPD/LPK isih kewates amarga kurange dana"
862,Pinjaman tersebut baru diberikan kepada anggota,silihan kesebut anyar diwenehna marang anggota
863,Sedangkan dana dari sektor-sektor lainnya juga cenderung tetap dipertahankan pengelolaannya oleh masing-masing sektor,lagekne dana saka sektor-sektor liyane uga cenderung tetap dikuwawaknekne pengelolaannya saka masing-masing sektor
864,3.3.3 Pelayanan Keuangan Mikro dari NTAADP dan PPK,3.3.3 ladenan kedhuwitan Mikro saka NTAADP lan PPK
865,Nusa Tenggara Agricultural Area Development Project (NTAADP) dan Program Pengembangan Kecamatan (PPK),Nusa Tenggara Agricultural Area Development Project (NTAADP) lan Program Pengembangan Kecamatan (PPK)
866,NTAADP didanai Bank Dunia mulai 1999 hingga 2003,NTAADP didanai Bank donya anyak 1999 nganti 2003
867,"Di NTT program ini dilaksanakan di 8 kabupaten, 28 kecamatan, dan 263 desa","neng NTT program iki dianakne neng 8 kabupaten, 28 kecamatan, lan 263 desa"
868,"Pada 2002 jumlah pokmas yang mendapat bantuan sebanyak 5.115 dengan anggota 48.151 jiwa, di antaranya 21% pokmas perempuan","nang 2002 cacah pokmas sing mbisa bantuan saakeh 5.115 karo anggota 48.151 jiwa, neng antarane 21% pokmas wadon "
869,"Di Kabupaten Manggarai, NTAADP dilaksanakan di Kecamatan Satarmese yang meliputi 25 desa dengan jumlah dana Rp3,2 miliar","neng Kabupaten Manggarai, NTAADP dianakne neng Kecamatan Satarmese sing meliputi 25 desa karo cacah dana Rp3,2 miliar "
870,"Dana yang disalurkan ke setiap kecamatan berkisar antara Rp350 juta-Rp 1 miliar, tergantung dari jumlah penduduknya","Dana sing disalurkan menyang saben kecamatan berkisar antara Rp350 yuta-Rp 1 miliar, tergantung saka cacah para wargane"
871,"Dari segi pengembalian kredit, tingkat tunggakan program NTAADP sampai Mei 2004 sebesar 58%","saka segi pambalen kredit, tingkat tunggakan program NTAADP nganti Mei 2004 sagedhe 58%"
872,"Bahkan di Desa Bea Kondo, dari dana yang disalurkan sebesar Rp91 juta, tingkat tunggakannya mencapai 92%","Bahkan neng desa Bea Kondo, saka dana sing disalurkan sagedhe Rp91 yuta, tingkat tunggakannya mencapai 92%"
873,Tunggakan ini menyebabkan kegiatan UPKD setempat nyaris terhenti,Tunggakan iki marakake kemempengan UPKD sapanggon nyaris kendheg
874,Tunggakan kredit PPK bervariasi baik menurut daerah maupun sektor usaha,Tunggakan kredit PPK bervariasi becik manut daerah arepa sektor upadi
875,Secara umum kredit untuk sektor usaha warung lebih tinggi tingkat pengembaliannya dibanding sektor usaha ternak,sacara umum kredit kanggo sektor upadi warung luwih dhuwur tingkat pambalene dibanding sektor upadi ingon-ingon
876,"Pada sektor usaha ternak, kredit untuk usaha ternak sapi lebih tinggi tingkat pengembaliannya dibanding usaha ternak babi","nang sektor upadi ingon-ingon, kredit kanggo upadi ingon-ingon sapi luwih dhuwur tingkat pambalene dibanding upadi ingon-ingon babi"
877,"Keberlanjutan perguliran dana, baik NTAADP maupun PKK, tergantung pada tingkat pengembalian kredit","Keberlanjutan perguliran dana, becik NTAADP arepa PKK, tergantung nang tingkat pambalen kredit"
878,"Namun, kerapkali muncul keluhan, setelah peminjam mengembalikan kreditnya, usahanya terhenti karena kembali kekurangan","ning, kerep muncul keluhan, sakwise panyilih mbalekne kreditnya, upadine kendheg amarga bali kekurangan "
879,Di Kabupaten Kupang kegiatan pelepas uang lebih banyak ditemukan dibanding dengan di Kabupaten Manggarai,neng Kabupaten Kupang kemempengan pangucul dhuwit luwih akeh ditemokake dibanding karo neng Kabupaten Manggarai
880,"Meskipun demikian, kegiatan rentenir masih cukup marak di daerah lainnya (lihat Kotak 3.13)","parandene, kemempengan rentenir isih cukup nyapih neng daerah liyane (delok Kotak 3.13)"
881,"Di daerah sampel, kegiatan rentenir di sanasini masih dilakukan terutama karena prosesnya mudah dan cepat","neng daerah sampel, kemempengan rentenir neng sanasini isih dilakoke paling utama amarga prosesnya gampang lan cepet"
882,"Bagi keluarga miskin yang memerlukan pinjaman mendadak, mereka dapat meminjam dari dua macam sumber keuangan informa","kanggo keluarga miskin sing mbutuhake silihan mendadak, dekne kabeh bisa nyilih saka loro macam sumber kedhuwitan informa "
883,Beberapa kelompok arisan mengembangkan kegiatannya menjadi kelompok simpan pinjam,Beberapa kelompok arisan mengembangkan kemempengane dadi kelompok simpan silih
884,"Pada umumnya, kelompok ini tidak bersifat permanen dan berakhir dengan berakhirnya satu putaran atau satu tahun sekali","nang umumnya, kelompok iki ora bersifat permanen lan buyar karo buyare siji puteran utawa siji taun pisan"
885,Pelayanan keuangan mikro mendapat dukungan langsung dan tidak langsung dari lembaga-lembaga donor,ladenan kedhuwitan mikro mbisa dukungan teras lan ora teras saka lembaga-lembaga donor
886,Pelatihan dan pendampingan teknis dapat dilakukan langsung maupun melalui lembaga profesional lain atau LSM yang cukup,panglatian lan pendampingan teknis bisa dilakoke teras arepa liwat lembaga profesional liya utawa LSM sing cukup 
887,Kegiatan beberapa lembaga donor yang secara langsung dan tidak langsung berkaitan dengan pelayanan keuangan mikro di NTT,kemempengan beberapa lembaga donor sing sacara teras lan ora teras berkaitan karo ladenan kedhuwitan mikro neng NTT 
888,Bank Dunia membiayai program NTAADP dan PPK yang wilayahnya juga mencakup beberapa daerah di NTT,Bank donya membiayai program NTAADP lan PPK sing wilayahnya uga mencakup beberapa daerah neng NTT 
889,"Program PPK, termasuk di dalamnya program usaha ekonomi produktif dan dana bergulir masih berjalan di beberapa lokasi","Program PPK, klebu neng jerone program upadi ekonomi produktif lan dana bergulir isih mlaku neng beberapa lokasi"
890,"AusAID telah mendukung pelayanan keuangan mikro di NTT melalui tiga program, yaitu","AusAID wis mendukung ladenan kedhuwitan mikro neng NTT liwat telu program, yaiku"
891,"1) Small Activities Scheme (SAS), 2) Program penguatan kelembagaan kredit mikro dan 3) Program Access","1) Small Activities Scheme (SAS), 2) Program pamotan kelembagaan kredit mikro lan 3) Program Access"
892,SAS memberikan bantuan dana kepada LSM yang dipilih melalui seleksi proposal yang diajukan oleh LSM yang bersangkutan,SAS menehake bantuan dana marang LSM sing dipileh liwat seleksi proposal sing diajokake saka LSM sing bersangkutan
893,"Program ini berakhir pada 2002, dan AusAID tidak lagi melakukan monitoring terhadap perkembangan program ini","Program iki buyar nang 2002, lan AusAID ora meneh nglakoke monitoring adhep perkembangan program iki"
894,Program ini dimulai pada 2002 dan ditujukan untuk LKM yang memberikan pelayanan keuangan mikro kepada masyarakat miskin,Program iki dianyak nang 2002 lan ditujukan kanggo LKM sing menehake ladenan kedhuwitan mikro marang masyarakat miskin 
895,"Selain itu, AusAID juga mendanai program Access yang ditujukan untuk meningkatkan kapasitas LSM","kajaba kuwi, AusAID uga mendanai program Access sing ditujukan kanggo ningkatake kapasitas LSM"
896,Berdasarkan CLAP ini muncul adanya usulan kegiatan keuangan mikro yang kemudian dilaksanakan oleh LSM dan masyarakat,Berdasarkan CLAP iki muncul anane usulan kemempengan kedhuwitan mikro sing banjur dianakne saka LSM lan masyarakat 
897,"Dalam melaksanakan kegiatan ini, NZAID bekerja sama dengan mitra kerja yang terdiri dari","jero nglakoni kemempengan iki, NZAID tandhang gawe padha karo mitra kerja sing awak saka"
898,"Jepang melalui Japan International Cooperation Agency (JICA), setidaknya melaksanakan tiga proyek di NTT, yaitu","Jepang liwat Japan International Cooperation Agency (JICA), saorane nglakoni telu proyek neng NTT, yaiku"
899,Dalam program ini JICA memberikan bantuan dana dan memberikan pelatihan kepada LSM,jero program iki JICA menehake bantuan dana lan menehake panglatian marang LSM
900,Salah satu penerima bantuan JICA melalui program CEP ini adalah Yayasan Pengembangan Pesisir dan Laut (YPPL),salah siji panampa bantuan JICA liwat program CEP iki yaiku Yayasan Pengembangan panjungkat lan segara (YPPL)
