"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
"Namun , keluarga kaya memiliki tingkat pendapatan yang lebih tinggi seperti terlihat dalam kepemilikan aset dan indikatornya","nanging , keluarga sugih nggadhahi tingkat pamanahan ingkang langkung inggil kados keningal lebet kepemilikan aset uga indikatornya "
"Di Desa Jungpasir , setiap keluarga memiliki akses pada listrik","ing dhusun Jungpasir , saben keluarga nggadhahi akses ing listrik "
Hal ini dapat dimengerti karena orang miskin tidak memiliki aset,Hal niki saged dipunngertos amargi tiyang miskin mboten nggadhahi aset 
menyajikan 10 indikator yang berkoefisien tertinggi di Desa Cibulakan dari 63 indikator yang dipakai,nyawisaken 10 indikator ingkang berkoefisien paling inggil ing dhusun Cibulakan saking 63 indikator ingkang kunjuk 
menyajikan karakteristiknya masing-masing untuk membuktikan bahwa sungguh terdapat perbedaan antara mereka,nyawisaken karakteristiknya masing-masing konjuk mbuktikaken menawi saestu enten bedan antawis piyambake sedaya
Terdapat kesenjangan yang teramat besar dalam hal kepemilikan aset antara keluarga kaya dan miskin,enten kesenjangan ingkang sanget ageng lebet hal kepemilikanaset antawis keluarga sugih uga miskin 
"Dari kesemua aset tersebut , beberapa di antaranya dimiliki oleh keluarga miskin seperti radio , tape recorder , dan sepeda","saking kesedaya aset kesebat , beberapa ing antawisipun dipunpek dening keluarga miskin kados radio , tape recorder ,uga sepeda "
Dua jenis aset yang umumnya dimiliki oleh keluarga kaya dan keluarga miskin adalah tanah dan rumah,kalih jenis aset ingkang umumnya dipunpek dening keluargasugih uga keluarga miskin yaiku siti uga griya 
Mungkin ada beberapa alasan menyangkut kepemilikan atas kedua aset ini,bokmenawi enten beberapa alasan ngusung kepemilikan inggil kaping kalih aset niki 
"kedudukannya yang teramat penting sehingga sangat diprioritaskan , atau merupakan harta warisan dari orang tua","kelenggahanipun ingkang sanget wigati dadosipun diprioritaskansanget , utawi ngrupikaken banda warisan saking tiyang sepuh "
Kebanyakan keluarga miskin terdiri atas keluarga yang berorang tua tunggal atau hanya beranggotakan satu orang,kekathahen keluarga miskin badan inggil keluarga ingkang ana tiyangipun sepuh tunggil utawi namung beranggotakan setunggal tiyang 
Perbedaan tingkat pendidikan para kepala keluarga kaya dan kepala keluarga miskin tampak mencolok,bedan tingkat pamucalan para sirah keluarga sugih uga sirah keluarga miskin katingal mencolok 
"99,3% kepala keluarga kaya telah menyelesaikan pendidikan formalnya ","99,3% sirah keluarga sugih sampun ndumugekaken pamucalan formalnya "
Kesenjangan tingkat pendidikan antara pasangan keluarga miskin dan pasangan keluarga kaya bahkan lebih lebar,Kesenjangan tingkat pamucalan antawis pasangan keluargamiskin uga pasangan keluarga sugih bahkan langkung wiyar 
"Sementara itu , 30,6% pasangan keluarga kaya memiliki tingkat pendidikan diploma dan 5,6% berpendidikan sarjana","Sementara punika , 30,6% pasangan keluarga sugih nggadhahi tingkat pamucalan diploma uga 5,6% berpendidikan sarjana "
Hanya 2% anggota keluarga yang tidak berpendidikan lebih tinggi daripada SD,namung 2% anggota keluarga ingkang mboten berpendidikanlangkung inggil daripada SD 
"Akan tetapi , ada sedikit pasangan baik dari keluarga kaya maupun keluarga miskin yang juga bekerja","nanging , enten sekedhik pasangan sae saking keluarga sugih kersaa keluarga miskin ingkang ugi nyambut damel "
"Pada keluarga kaya terdapat 27,8% dari pasangannya yang bekerja dan keluarga miskin terdapat 11,9% pasangannya bekerja","ing keluarga sugih enten 27,8% saking pasanganipun ingkang nyambut damel uga keluarga miskin enten 11,9% pasanganipun nyambut damel "
"Ada yang mengejutkan , 1,4% keluarga kaya sedikitnya memiliki satu anak usia sekolah yang bekerja","enten ingkang mengejutkan , 1,4% keluarga sugih sekedhikipun nggadhahi setunggal anak umur sekolah ingkang nyambut damel "
Banyak keluarga kaya terlibat dalam sektor jasa dan perdagangan,kathah keluarga sugih terlibat lebet sektor jasa uga gramenan 
"Sebaliknya hanya segelintir keluarga miskin yang bergerak di sektor ini , kebanyakan mereka bergerak di sektor pertanian (54,4%)","sawalikipun namung segelintir keluarga miskin ingkang ngabah ing sektor niki , kekathahen piyambake sedaya ngabah ing sektorpertanian (54,4%) "
Hanya 9% keluarga kaya yang bermatapencaharian bertani,namung 9% keluarga sugih ingkang bermatapencahariansesabin 
Perbedaannya hanya terletak pada besarnya jumlah dan jenis kiriman/transfer,bedanipun namung manggen ing agengipun wilangan uga jeniskentunan/transfer 
"Sesuai dengan kepemilikan aset , keluarga kaya mendapatkan akses yang lebih besar pada lembaga keuangan formal","sami kaliyan kepemilikan aset , keluarga sugih nyagedaken akses ingkang langkung ageng ing lembaga kartan formal "
"Kebanyakan keluarga kaya (67,4%) memiliki dana tabungan , sementara hampir tak satu pun keluarga miskin memiliki tabungan","kekathahen keluarga sugih (67,4%) nggadhahi dana tabungan ,sementara hampir mboten setunggala keluarga miskinnggadhahi tabungan "
"Selama tiga tahun terakhir , 32,6% keluarga kaya menerima kredit dari lembaga keuangan formal dan 6,3% telah menggadaikan asetnya","salebetipun telu taun paling akhir , 32,6% keluarga sugih nampi kredit saking lembaga kartan formal uga 6,3% sampun nggantosaken asetnya "
"Sebaliknya , tak satu pun keluarga miskin yang menerima kredit dari lembaga keuangan formal atau pun yang menggadaikan asetnya","sawalikipun , mboten setunggala keluarga miskin ingkang nampi kredit saking lembaga kartan formal utawi pun ingkang nggantosaken asetnya "
Juga terdapat perbedaan-perbedaan yang mencolok dalam hal pola konsumsi,ugi enten bedan-bedan ingkang mencolok lebet hal polakonsumsi 
"Meskipun hampir setiap keluarga makan dua kali sehari , asupan proteinnya berbeda","senaosa hampir saben keluarga tedha kaping kaling sadinten , asupan proteinnya benten "
Indikator kesehatan antara keluarga kaya dan keluarga miskin juga tampak berbeda,Indikator kesarasan antawis keluarga sugih uga keluarga miskinugi katingal benten 
"Sebanyak 95,1% keluarga kaya mengupayakan layanan kesehatan modern selama sakit , sementara keluarga miskin hanya 74,8%","sakathah 95,1% keluarga sugih nyupadosaken ladosan kesarasan modern salebetipun sakit , sementara keluarga miskinnamung 74,8% "
Persentase keluarga kaya yang mengkonsumsi air bersih dua kali lebih besar dibandingkan keluarga miskin,Persentase keluarga sugih ingkang mengkonsumsi toya resik kaping kaling langkung ageng dipunbandingaken keluarga miskin
Sisanya menggunakan WC umum atau memakai WC tetangga,tirahipun ngginakaken WC umum utawi ngangge WC tanggi 
"Sementara , lebih banyak keluarga kaya memiliki rasio ketergantungan yang tinggi","Sementara , langkung kathah keluarga sugih nggadhahi rasioketergantungan ingkang inggil "
"Pasokan listrik selalu tersedia , baik keluarga miskin atau keluarga kaya memiliki akses pada listrik","Pasokan listrik salajeng sampun dicawis , sae keluarga miskinutawi keluarga sugih nggadhahi akses ing listrik "
"Sekali lagi , hal ini merupakan imbas dari tingkat kepemilikan aset yang dimiliki keluarga kaya","pisan malih , hal niki ngrupikaken imbas saking tingkat kepemilikan aset ingkang dipunpek keluarga sugih "
INDIKATOR KESEJAHTERAAN UTAMA Tabel IX.1 menyajikan 10 variabel yang paling membedakan tingkat kesejahteraan di Parakantugu,INDIKATOR KESEJAHTERAAN utami Tabel IX.1 nyawisaken 10variabel ingkang paling mupuran tingkat kesejahteraan ing Parakantugu 
"Delapan di antaranya adalah variabel kepemilikan , sementara dua lainnya adalah tabungan dan tingkat pendidikan kepala keluarga","wolu ing antawisipun yaiku variabel kepemilikan , sementarakalih bentenipun yaiku tabungan uga tingkat pamucalan sirah keluarga "
"Keluarga miskin hanya memiliki TV hitam putih dan radio , sementara keluarga kaya memiliki hampir setiap variabel kepemilikan","Keluarga miskin namung nggadhahi TV cemeng pethak uga radio , sementara keluarga sugih nggadhahi hampir saben variabel kepemilikan "
Keduanya samasama memiliki tanah dan rumah,kekalihipun samasama nggadhahi siti uga griya 
"Seperti di desa-desa lain , rumah dan tanah biasanya merupakan warisan dari orang tuanya","kados ing dhusun-dhusun benten , griya uga siti biyasanipun ngrupikaken warisan saking tiyang sepuhipun "
"Berkenaan dengan kepemilikan hewan ternak , kebanyakan keluarga miskin memelihara ayam dan kambing","Berkenaan kaliyan kepemilikan kewan ingah-ingah , kekathahen keluarga miskin ngingah ayam uga menda "
"Hanya 4,7% keluarga kaya yang kepala keluarganya perempuan , dibandingkan 34,9% kepala keluarga perempuan pada keluarga miskin","namung 4,7% keluarga sugih ingkang sirah keluarganya estri , dipunbandingaken 34,9% sirah keluarga estri ing keluarga miskin"
"Menariknya , 60% pasangan dalam keluarga miskin berpendidikan SLTP dan sisanya hampir 40% tidak menyelesaikan pendidikan dasarnya","nggeretipun , 60% pasangan lebet keluarga miskinberpendidikan SLTP uga tirahipun hampir 40% mboten ndumugekaken pamucalan dasarnya "
"Dalam kategori pekerjaan , 99,2% kepala keluarga kaya berstatus bekerja dan hanya 73,6% kepala keluarga miskin memiliki pekerjaan","lebet kategori padamelan , 99,2% sirah keluarga sugih berstatusnyambut damel uga namung 73,6% sirah keluarga miskinnggadhahi padamelan"
"Terlebih lagi , 33,3% pasangan keluarga kaya juga bekerja dibandingkan hanya 4,7% pasangan keluarga miskin yang bekerja","tirah-tirah malih , 33,3% pasangan keluarga sugih ugi nyambut damel dipunbandingaken namung 4,7%pasangan keluarga miskin ingkang nyambut damel "
"Hanya 11,6% keluarga kaya yang bekerja di sektor pertanian","namung 11,6% keluarga sugih ingkang nyambut damel ing sektor pertanian "
"Di samping itu , hampir seperempat keluarga miskin bergantung pada dana transfer dari pihak lain","ing samping punika , hampir saprasakawan keluarga miskin bergantung ing dana transfer saking pihakbenten "
"Akses pada lembaga keuangan hanya terbatas pada orang kaya , 66% keluarga kaya memiliki tabungan dan 42% telah menerima kredit","Akses ing lembaga kartan namung kewates ing tiyang sugih , 66% keluarga sugih nggadhahi tabungan uga 42% sampun nampi kredit "
"Meski berbeda , baik keluarga kaya maupun yang miskin memiliki pola konsumsi dan asupan protein yang cukup","senaos benten , sae keluarga sugih kersaa ingkang miskin nggadhahi pola konsumsi uga asupan proteiningkang cekap "
"Di pihak lain , terdapat kesenjangan yang besar dalam hal indikator kesehatan lain","ing pihak benten , enten kesenjangan ingkang ageng lebet hal indikator kesarasan benten "
"Hampir setiap keluarga kaya juga memiliki WC pribadi dan hanya 16,3% keluarga miskin yang memilikinya","Hampir saben keluarga sugih ugi nggadhahi WC pribadi uga namung 16,3% keluarga miskin ingkang nggadhahanipun "
"Terakhir , terdapat segelintir keluarga miskin yang belum dapat mengakses penerangan listrik","paling akhir , enten segelintir keluarga miskin ingkang dereng saged mengakses panempuhan listrik "
Keluarga kaya lebih aktif berpartisipasi dalam politik,Keluarga sugih langkung aktif berpartisipasi lebet politik 
Kesenjangan yang tajam antara keluarga kaya dan keluarga miskin dapat juga dilihat dari aksesnya terhadap informasi,Kesenjangan ingkang tajam antawis keluarga sugih uga keluarga miskin saged ugi dipunningal saking aksesnya majeng informasi 
"Hanya 14% keluarga miskin yang secara tetap menonton televisi atau membaca koran , dibandingkan keluarga kaya 100%","namung 14% keluarga miskin ingkang sacara tetap ningali televisi utawi maos koran , dipunbandingaken keluarga sugih 100% "
Terdapat juga perbedaan indikator kemiskinan yang signifikan di desa-desa di Cianjur,enten ugi bedan indikator kemiskinan ingkang signifikan ing dhusun-dhusun ing Cianjur 
"Demikianlah , kami telah menyajikan bukti bahwa indikator kemiskinan antara masing-masing desa sungguh berbeda","mekatena , kami sampun nyawisaken bukti menawi indikator kemiskinan antawis masing-masing dhusun saestu benten "
"Lebih penting lagi , indikator yang spesifik-lokal ini dapat terungkap dengan menggunakan metodologi yang kami terapkan di atas","langkung wigati malih , indikator ingkang spesifik-lokal niki saged terungkap kaliyan ngginakaken metodologiingkang kami terapkan ing inggil "
PELAJARAN YANG DIPETIK DARI KETERLIBATAN LOKAL Kami telah merekrut kader BKKBN di tingkat desa untuk menjadi enumerator CBMS,piwulang ingkang dipunpethik saking KETERLIBATAN LOKAL Kami sampun merekrut kader BKKBN ing tingkat dhusun konjuk dados enumerator CBMS 
Perekrutan para enumerator pada awalnya diatur oleh kantor perwakilan BKKBN di daerah,Perekrutan para enumerator ing awalnya diatur dening kantor wakilan BKKBN ing daerah 
"Namun , untuk desa-desa lain hanya terdapat satu kader BKKBN","nanging , konjuk dhusun-dhusun benten namung enten setunggal kader BKKBN "
"Sebaliknya , BKKBN Demak tidak memiliki data mengenai kader di setiap desa","sawalikipun , BKKBN Demak mboten nggadhahi data ngengingi kader ing saben dhusun "
Pengumpulan data BKKBN selalu terutama dilakukan oleh aparat desa dengan bantuan PPLKB,pangempalan data BKKBN salajeng paling utami dipuntumindakake dening aparat dhusun kaliyan bantuanPPLKB 
Umumnya mereka menugaskan para aparat desa sebagai enumerator,Umumnya piyambake sedaya njejibahanaken para aparat dhusun dados enumerator 
Setiap enumerator melakukan pencacahan di setiap RT tempat tinggalnya atau RT tetangga dalam RW yang sama,saben enumerator numindakake pencacahan ing saben RT panggen tilaripun utawi RT tanggi lebet RWingkang sami 
"Dengan demikian , terdapat sedikitnya satu enumerator untuk setiap RT di setiap desa","kaliyan mekaten , enten sekedhikipun setunggal enumerator konjuk saben RT ing saben dhusun "
"Karena SMERU tetap menggunakan struktur pengumpulan data tradisional BKKBN , PLKB dan PPLKB sepenuhnya terlibat","amargi SMERU tetap ngginakaken struktur pangempalan data tradisional BKKBN , PLKB uga PPLKBsakebakipun terlibat "
"Selain itu , mereka juga mengumpulkan kuesioner yang telah dilengkapi dan menyusunnya berdasarkan RT-nya masing-masing","kajawi punika , piyambake sedaya ugi ngempalaken kuesioner ingkang sampun dipunpepaki uga menyusunnya berdasarkan RT-nya masing-masing "
"Ada beberapa kesalahan sama yang terjadi di keempat desa tersebut , yakni","enten beberapa kalepatan sami ingkang kedadosan ing kaping sekawan dhusun kesebat , yakni "
(1) enumerator kadang-kadang tidak berhasil mengajukan semua pertanyaan karena merasa telah mengetahui jawabannya ,(1) enumerator kadang kala mboten kedadosan ngajengaken sedaya pitakenan amargi rumaos sampun nyumerepi wangsulanipun 
(2) mereka memasukkan kode yang salah dalam kuesioner dan ,(2) piyambake sedaya mlebetaken kode ingkang klintu lebet kuesioner uga 
(3) beberapa jawaban tidak konsisten satu dengan yang lainnya,(3) beberapa wangsulan mboten konsisten setunggal kaliyan ingkang bentenipun 
Contoh yang tepat adalah para aparat desa,tuladha ingkang tepat yaiku para aparat dhusun 
"Namun , ketika mereka telah memahami kuesioner , pengalaman pengumpulan data seketika menjadi kurang penting","nanging , nalika piyambake sedaya sampun ngerteni kuesioner , pandalon pangempalan data saknalika dados kirang wigati"
"Di pihak lain , aparat desa seharusnya tidak perlu dilibatkan demi lebih memastikan keabsahan data","ing pihak benten , aparat dhusun sakedahipun mboten betah dilibatkan demi langkung mestikaken keabsahan data "
Alasan lain bagi pentingnya keterlibatan masyarakat lokal adalah,Alasan benten kunjuk wigatinipun keterlibatan masyarakat lokalyaiku 
sistem ini dapat dilakukan secara simultan di setiap desa di Indonesia,sistem niki saged dipuntumindakake sacara simultan ing saben dhusun ing Indonesia 
Indikator ini berkisar dari kepemilikan aset dan karakteristik kesehatan hingga pada partisipasi politik dan akses pada informasi,Indikator niki berkisar saking kepemilikan aset uga karakteristikkesarasan ngantos ing partisipasi politik uga akses ing informasi 
Sistem pendataan ini dikenal dengan nama Sistem Pemantauan Kesejahteraan oleh Masyarakat (SPKM),Sistem pendataan niki dipuntepang kaliyan nami SistemPemantauan Kesejahteraan dening Masyarakat (SPKM) 
"Di Indonesia , penggunaan sistem ini telah diuji cobakan di empat desa di Jawa Barat dan Jawa Tengah","ing Indonesia , pangginan sistem niki sampun diuji cobikaken ing sekawan dhusun ing Jawi kilen uga Jawi madya "
Hasil verifikasi menunjukkan bahwa hasil perhitungan yang diperoleh dari SPKM memiliki tingkat keakuratan yang cukup tinggi,pikantuk verifikasi nunjukaken menawi pikantuk petang ingkang dipundeningaken saking SPKM nggadhahi tingkat keakurataningkang cekap inggil 
SPKM mampu secara tepat menyusun urutan kesejahteraan keluarga antar-RW dan antardusun di masing-masing wilayah,SPKM saged sacara tepat menyusun urutan kesejahteraankeluarga terna-RW uga antardusun ing masing-masing wilayah 
Ketepatan hasil ini akan mempertajam penargetan wilayah dalam menjalankan suatu program,Ketepatan pikantuk niki badhe mempertajam penargetan wilayahlebet nglampahaken mukawis program 
"Pada pemantauan terhadap JPS Bidang Kesehatan , tim ini juga menyimpulkan bahwa","ing pemantauan majeng JPS Bidang kesarasan , tim niki ugi menyimpulkan menawi "
"Oleh karena itu , sebenarnya keluarga itu tidak dapat dimasukkan ke dalam kategori keluarga prasejahtera","sarehdenten punika , saleresipun keluarga punika mboten saged dipunmlebetaken mlebet kategori keluarga prasejahtera "
Tetapi karena dalam kriteria BKKBN keluarga tersebut masuk ke dalam kelompok prasejahtera maka ia mendapat fasilitas kesehatan,nanging amargi lebet kriteria BKKBN keluarga kesebat mlebet mlebet kelompok prasejahtera mila piyambakipun nyaged fasilitas kesarasan 
"Hal ini terjadi di Surabaya , Jawa Timur dan Simalungun , Sumatera Utara (Tim Pengendali GTP-JPS 2000 22)","Hal niki kedadosan ing Surabaya , Jawi wetan uga Simalungun ,Sumatera ler (Tim pangendhali GTP-JPS 2000 22) "
1.2 Metodologi Verifikasi SPKM dilakukan dengan melihat kesesuaian antara hasil SPKM dengan hasil penilaian masyarakat,1.2 Metodologi Verifikasi SPKM dipuntumindakake kaliyan ningali kesamen antawis pikantuk SPKM kaliyan pikantuk pangaosan masyarakat 
"FGD dengan masyarakat di desa ini dilakukan dalam dua tingkat , yaitu FGD tingkat desa dan FGD tingkat RT","FGD kaliyan masyarakat ing dhusun niki dipuntumindakake lebet kalih tingkat , yaiku FGD tingkat dhusun uga FGD tingkat RT "
FGD di tingkat RT dilakukan di dua RT di tiap desa,FGD ing tingkat RT dipuntumindakake ing kalih RT ing saben dhusun 
Pemilihan dua RT ini dilakukan berdasarkan kriteria sebagai berikut,pamilehan kalih RT niki dipuntumindakake berdasarkan kriteriadados punika 
(1) kedua RT tersebut masing-masing mewakili RT yang jauh dan dekat dari pusat kegiatan ekonomi atau pemerintahan desa; ,(1) kaping kalih RT kesebat masing-masing makili RT ingkang tebih uga celak saking puser kengungkukan ekonomi utawi pamerentahan dhusun; 
(2) kedua RT masing-masing memiliki jumlah keluarga antara 100-200 KK dan antara 50-100 KK; dan ,(2) kaping kalih RT masing-masing nggadhahi wilangan keluargaantawis 100-200 KK uga antawis 50-100 KK; uga 
Verifikasi SPKM dilakukan dalam empat tahap,Verifikasi SPKM dipuntumindakake lebet sekawan tahap 
"Pada tahap pertama , peserta FGD memperkirakan proporsi kesejahteraan keluarga tingkat desa","ing tahap setunggal , pamawi FGD ngintenaken proporsikesejahteraan keluarga tingkat dhusun "
Pelaksanaan FGD dilakukan pada bulan Juli 2006 di Desa Cibulakan (Cianjur) dan bulan September 2006 di Desa Kedondong (Demak),pamontenan FGD dipuntumindakake ing wulan Juli 2006 ing dhusun Cibulakan (Cianjur) uga wulan September 2006 ing dhusun Kedondong (Demak) 
Kegiatan FGD ini dilakukan oleh empat peneliti SMERU,kengungkukan FGD niki dipuntumindakake dening sekawan peneliti SMERU 
Di Desa Cibulakan dipilih RT 1 RW 2 dan RT 1 RW 6,ing dhusun Cibulakan dipunpileh RT 1 RW 2 uga RT 1 RW 6 
Di Desa Kedondong dipilih RT 4 RW 1 dan RT 6 RW 3,ing dhusun Kedondong dipunpileh RT 4 RW 1 uga RT 6 RW 3 
2.1 Desa Cibulakan Desa Cibulakan adalah satu dari 16 desa di Kecamatan Cugenang di Kabupaten Cianjur,2.1 dhusun Cibulakan dhusun Cibulakan yaiku setunggal saking 16 dhusun ing Kecamatan Cugenang ing Kabupaten Cianjur 
"Secara administratif , desa ini dibagi atas tiga dusun , 6 RW , dan 22 RT","sacara administratif , dhusun niki dipunpara inggil telu dusun , 6RW , uga 22 RT "
Dusun 1 (Panumbangan) terdiri dari RW 1 dan RW 2,Dusun 1 (Panumbangan) badan saking RW 1 uga RW 2 
"Dusun 2 (Garogol) terdiri dari RW 3 dan RW 4 , dan Dusun 3 (Ranca Picung) terdiri dari RW 5 dan RW 6","Dusun 2 (Garogol) badan saking RW 3 uga RW 4 , uga Dusun 3(Ranca Picung) badan saking RW 5 uga RW 6 "
Desa Cibulakan berjarak sekitar 6 km dari ibukota Kabupaten Cianjur dan empat kilometer dari ibukota Kecamatan Cugenang,dhusun Cibulakan ngantawis sekitar 6 km saking ibukotaKabupaten Cianjur uga sekawan kilometer saking ibukotaKecamatan Cugenang
Kedua jalan tersebut dapat dicapai dalam 20 menit waktu perjalanan dengan mobil dari Desa Cibulakan,kaping kalih radin kesebat saged dicapai lebet 20 menit wanci radin kaliyan mobil saking dhusun Cibulakan 
Keadaan ini mendukung mobilitas warga desa dalam melakukan aktifitas keseharian mereka,kawontenan niki mendukung mobilitas warga dhusun lebet numindakake aktifitas keseharian piyambake sedaya 
"Selain angkutan desa , transportasi umum lain yang ada di desa Cibulakan adalah jasa ojek yang melayani transportasi jarak pendek","kajawi usungan dhusun , transportasi umum benten ingkang enten ing dhusun Cibulakan yaiku jasa ojek ingkang ngladosi transportasi antawis andhap "
"Wilayah yang digunakan untuk rumah tinggal luasnya mencapai 34,5 hektar ","Wilayah ingkang dipunginakaken konjuk griya tilar wiyaripun mencapai 34,5 hektar "
dan lainnya dimanfaatkan untuk kolam ikan dan fasilitas umum,uga bentenipun dipunginakaken konjuk kolam ulam uga fasilitasumum 
Pada umumnya warga desa bekerja sebagai petani,ing umumnya warga dhusun nyambut damel dados petani 
"Para petani umumnya menanam padi , sementara hanya sedikit warga yang menanam sayur-sayuran atau mengusahakan budidaya ikan","Para petani umumnya nanem pantun , sementara namung sekedhik warga ingkang nanem sayur-sayuran utawi ngupadosaken budidaya ulam "
"Sebagian warga Desa Cibulakan lainnya ada juga yang bekerja sebagai TKI , khususnya di negara-negara Timur Tengah","sakunjukan warga dhusun Cibulakan bentenipun enten ugi ingkang nyambut damel dados TKI , khususnya ing nagari-nagari wetan madya "
Keluarga-keluarga TKI umumnya relatif lebih makmur dibandingkan dengan keluarga lainnya,Keluarga-keluarga TKI umumnya relatif langkung makmurdipunbandingaken kaliyan keluarga bentenipun 
Terdapat banyak warga yang telah memiliki fasilitas kamar mandi dan WC secara terpisah,enten kathah warga ingkang sampun nggadhahi fasilitas kamaradus uga WC sacara kesapih 
Fasilitas pendidikan yang ada di desa Cibulakan masih terbatas,Fasilitas pamucalan ingkang enten ing dhusun Cibulakan taksih kewates 
Terdapat empat sekolah dasar negeri dan satu sekolah menengah pertama (SLTP) swasta,enten sekawan sekolah dasar negeri uga setunggal sekolahmadya setunggal (SLTP) swasta 
"Meskipun demikian , sekolah lain juga relatif dekat","parandosipun , sekolah benten ugi relatif celak "
"Terlebih lagi , sekolah-sekolah yayasan Islam yang dikelola secara lokal seperti pesantren juga tersedia di desa tersebut","tirah-tirah malih , sekolah-sekolah yayasan Islam ingkang dikelola sacara lokal kados pesantren ugi sampun dicawis ing dhusun kesebat "
Desa Cibulakan tidak memiliki fasilitas layanan umum kesehatan,dhusun Cibulakan mboten nggadhahi fasilitas ladosan umumkesarasan 
Satu-satunya fasilitas kesehatan yang pernah ada kini tidak digunakan lagi,setunggal-setunggalipun fasilitas kesarasan ingkang nate enten sakmenika mboten dipunginakaken malih 
Fasilitas telekomunikasi di Desa Cibulakan umumnya banyak tersedia,Fasilitas telekomunikasi ing dhusun Cibulakan umumnya kathah sampun dicawis 
"Jaringan telepon permanen tersedia dari PT Telkom , meski jumlah pelanggannya sangat kecil","Jaringan telepon permanen sampun dicawis saking PT Telkom ,senaos wilangan pelanggannya alit sanget "
"Selain itu , wartel juga tersedia bagi warga masyarakat","kajawi punika , wartel ugi sampun dicawis kunjuk wargamasyarakat "
Beberapa tahun terakhir ini terdapat kecenderungan yang meningkat dalam kepemilikan telepon selular di Desa Cibulakan,Beberapa taun paling akhir niki enten kecenderungan ingkang ningkat lebet kepemilikan telepon selular ing dhusun Cibulakan 
"Bentuk infrastruktur lain yang lebih besar seperti pasar , kantor pos , kantor polisi , dan bank belum tersedia di desa ini","bentuk infrastruktur benten ingkang langkung ageng kados peken , kantor pos , kantor polisi , uga bank dereng sampun dicawis ing dhusun niki "
"Jika ingin mendapatkan pelayanan tersebut , warga harus pergi ke ibukota Kabupaten Cianjur","menawi kersa nyagedaken paladosan kesebat , warga kedah kesah datheng ibukota Kabupaten Cianjur "
2.2 Wilayah RT 1 RW 2 Desa Cibulakan Wilayah RT 1 RW 2 merupakan wilayah yang berada di Dusun 1 (Panumbangan),2.2 Wilayah RT 1 RW 2 dhusun Cibulakan Wilayah RT 1 RW 2ngrupikaken wilayah ingkang wonten ing Dusun 1(Panumbangan) 
Lokasi RT 1 RW 2 yang berdekatan dengan pusat kegiatan ekonomi desa membuat wilayah ini padat penduduknya,Lokasi RT 1 RW 2 ingkang nyelakan kaliyan puser kengungkukan ekonomi dhusun ndamel wilayah niki padat para warginipun 
Sistem tata ruang yang tidak terencana dengan baik membuat rumah-rumah tersebut tidak tertata dengan rapi,Sistem tata ruang ingkang mboten terencana kaliyan sae ndamel griya-griya kesebat mboten tertata kaliyan rapi 
"Pada umumnya , luas tanah untuk rumah dan pekarangan kecil dan beberapa rumah warga dibangun bertingkat","ing umumnya , wiyar siti konjuk griya uga pekarangan alit uga beberapa griya warga dipunwungu ningkat "
Jumlah penduduk RT 1 RW 2 mengalami peningkatan yang relatif tinggi selama setahun terakhir,wilangan para wargi RT 1 RW 2 ngalami indhak-indhakan ingkang relatif inggil salebetipun sataun paling akhir 
Jalan menuju RT ini bisa dilalui dengan mobil,radin menuju RT niki sanguh kelangkungan kaliyan mobil 
Kehidupan bernuansa desa lebih nampak di RT 1 RW 6 ini,kegesangan bernuansa dhusun langkung nampak ing RT 1 RW 6niki 
Jumlah penduduk RT 1 RW 6 tidak banyak mengalami perubahan selama setahun terakhir,wilangan para wargi RT 1 RW 6 mboten kathah ngalami ewah-ewahan salebetipun sataun paling akhir
Salah satu penyebab sedikitnya jumlah keluarga yang ada di RT ini adalah lokasinya yang jauh dari pusat kegiatan ekonomi desa ,salah satunggal penyebab sekedhikipun wilangan keluargaingkang enten ing RT niki yaiku lokasinya ingkang tebih saking puser kengungkukan ekonomi dhusun 
migrasi warga RT ini (baik migrasi keluar maupun masuk) relatif jarang,migrasi warga RT niki (sae migrasi medal kersaa mlebet) relatifawis 
Mata pencaharian masyarakat RT 1 RW 6 pada umumnya adalah bertani,mripat pencaharian masyarakat RT 1 RW 6 ing umumnya yaiku sesabin 
"2.4 Desa Kedondong Secara administratif , Desa Kedondong merupakan satu dari 19 desa/kelurahan yang ada di Kecamatan Demak","2.4 dhusun Kedondong sacara administratif , dhusun Kedondongngrupikaken setunggal saking 19 dhusun/kelurahan ingkang enten ing Kecamatan Demak "
Desa ini dibagi menjadi tiga RW dan 20 RT,dhusun niki dipunpara dados telu RW uga 20 RT 
Fasilitas pendidikan yang ada di desa ini terdiri atas empat buah sekolah dasar dan satu buah taman kanak-kanak,Fasilitas pamucalan ingkang enten ing dhusun niki badan inggil sekawan buah sekolah dasar uga setunggal buah taman kanak-kanak 
"Di desa ini tidak terdapat sekolah lanjutan , baik tingkat SLTP maupun SLTA","ing dhusun niki mboten enten sekolah lajengan , sae tingkat SLTP kersaa SLTA "
SLTP terdekat berjarak 3 km dari desa ini dan SLTA terdekat berjarak 5 km,SLTP paling celak ngantawis 3 km saking dhusun niki uga SLTApaling celak ngantawis 5 km 
