"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
"Wah ternyata itu kamu, kah.
Sejak tadi sebenarnya aku sudah mulai curiga, karena rel kereta api ini sudah tidak digunakan lama banget. jawabnya Itok.","Wah jebule kuwi kowe, ta.
Wiwit mau sejatine aku wis wiwit cubriya, amarga rel sepur iki wis ora digunakake suwe banget. wangsulane Itok."
"Tapi buktinya kamu bisa dikerjai, diperintah berhenti, kamu juga berhenti.","Nanging buktine kowe kena digaweni, diprentah madheg, kowe uga mandheg."
"Itu karena aku kasihan kepada kamu, yang sudah susah payah memasang palang ini untuk mengerjai aku."" jawabnya Itok tidak mau kalah.","Kuwi amarga aku mesakake marang kowe, sing wis rekasa masangi palang iki kanggo nggaweni aku."" wangsulane Itok ora gelem kalah."
"Ah, kamu itu memang pinter membela diri dan tidak mau kalah. jawabnya Maman.","Ah, kowe kuwi pancen pinter mbela awake dhewe lan ora gelem kalah. wangsulane Maman."
"Tentu saja, anaknya siapa dulu. jawabnya Itok dengan tersenyum.","Mesthi wae, anake sapa dhisik. wangsulane Itok kanthi mesem."
"Sudah, sekarang aku dibantu menggiring kambing-kambingku ini pulang ke kandangnya.","Wis, saiki aku ditulungi nggiring wedhus-wedhusku iki mulih menyang kandhange."
Selanjutnya mereka pada pulang bersama dan sampai di rumah sebelum maghrib.,Sabanjure dheweke padha mulih bebarengan lan tekan ing omah sadurunge maghrib.
Itok cepat memasukkan kambing-kambingnya masuk ke kanadngnya.,Itok enggal nglebokake wedhus-wedhuse mlebu menyang kandhange.
"Setelah perkerjaannya selesai, Itok mengucapkan terimakasih kepada Pardi dan Maman yang sudah membantu.","Sawise pagaweyane rampung, Itok ngaturake panuwun marang Pardi lan Maman sing wis mbiyantu."
"Terima kasih ya Pardi, Maman karena kamu berdua sudah membantu aku menggiring kambing-kambingku hingga masuk kandang.","Matur nuwur ya Pardi, Maman amarga kowe sakloron wis mbiyantu aku nggiring wedhus-wedhusku nganti mlebu kandhang."
Setelah Pardi dan Maman sudah pada pulang Itok lalu mandi dan wudhu karena sudah ditunggu Abah dan Bapaknya untuk shalat Maghrib dengan jamaah.,Sawise Pardi lan Maman wis padha mulih Itok banjur adus lan wudhlu amarga wis dienteni Abah lan Bapake saperlu shalat Maghrib kanthi jamaah.
Taruna Bangsawan Yang Angkuh.,Taruna Bangsawan Sing Angkuh.
Namanya yaitu Raden Anom Pamungkas.,Jenenge yaiku Raden Anom Pamungkas.
"Dirinya seorang taruna bangsawan, putra Adipati di Keraton Medang Kamulan.","Dheweke sawijining taruna bangsawan, putra Adipati ing Kraton Medang Kamulan."
Umurnya baru tujuhbelas tahun.,Umure lagi pitulas taun.
"Masih muda, tapi dirinya sudah terkenal di seluruh Medang Kamulan.","Isih timur, nanging dheweke wis kondhang ing saindening Medang Kamulan."
"Mulai bangsawan sampai rakyat kecil, tua muda, yang laki-laki sampai yang perempuan semua kenal.","Wiwit bangsawan nganti kawula cilik, tuwa enom, sing lanang nganti sing wadon kabeh padha kenal."
Raden Anom Pamngkas seorang taruna yang tampan wajahnya.,Raden Anom Pamngkas sawijining taruna sing bagus rupane.
Dirinya taruna yang gagah sendiri di negaranya.,Dheweke taruna sing gagah dhewe ing negarane.
Dirinya juga seorang taruna yang sakti.,Dheweke uga sawijining taruna sing sekti.
Sejak kecil dirinya sudah dilatih silat.,Wiwit cilik dheweke wis dilatih silat.
Segala ilmu silat dengan cepat bisa dikuasai.,Sakehing ngelmu silat kanthi cepet bisa dikuwasani.
"Lebih-lebih ketika usia limabelas tahun, Raden Anom Pamungkas menemukan sebuah buku silat kuno yang hebat sekali.","Luwih-luwih nalika yuswa limalas taun, Raden Anom Pamungkas nemokake sawijining buku silat kuno sing hebat banget."
"Maka dari itu di usia tujuhbelas tahun, dirinya sudah jadi seorang taruna yang tiada tanding.","Awit saka itu ing yuswane pitulas taun, dheweke wis dadi sawijining taruna sing pilih tandhing."
"Tapi cintanya, segala kelebihan yang diberikan oleh Gusti yang menciptakan alam kepada Raden Anom Pamungkas tidak membuat dirinya mengucap syukur.","Nanging emane, sakehing kaluwihan sing diparingake dening Gusti sing nyiptakake alam marang Raden Anom Pamungkas ora ndadekake dheweke ngaturake panuwun."
Dirinya jadi angkuh.,Dheweke dadi angkuh.
"Dirinya merasa hebat, merasa yang tinggi sendiri.","Dheweke rumangsa hebat, rumangsa sing dhuwur dhewe."
Wajahnya yang tampan kelihatan sorot matanya yang tajam tapi angkuh selalu meremehkan orang lain.,Praene sing bagus katon sorot mripate sing landhep nanging gumedhe tansah ngeremehake wong liya.
"Mulutnnya selalu tersenyum, tapi senyumnya penuh penghinaan.","Tutuke tansah mesem, nanging eseme kebak pangina."
Segala apa yang diomongkan atau yang diminta harus dituruti.,Sakehing apa sing diomongake utawa sing dijaluk kudu dituruti.
Tidak boleh ada orang yang membantah.,Ora kena ana wong sing mbantah.
Jika ada yang berani menantang nyawa taruhannya.,Yen ana sing wani nantang nyawa totohane.
Maka dari itu dirinya selain disennagi juga jadi taruna yang ditakuti.,Mula saka itu dheweke kajaba digandrungi uga dadi taruna sing diwedeni.
Adipati Wirapati dan Dewi Hapsari yaitu Ayah dan Ibunya jadi sedih sekali melihat kelakuan putranya itu.,Adipati Wirapati lan Dewi Hapsari yaiku Rama lan Ibune dadi sedhih banget ngawruhi kelakuwane putrane iku.
"Dulu ketika Dewi Hapsari melahirkan Raden Anom Pamungkas, dirinya merasa terima kasih kepada Gusti yang Maha Agung, karena sudah memberi seorang putra yang tampan, mengemaskan.","Dhisik nalika Dewi Hapsari nglairake Raden Anom Pamungkas, dheweke rumangsa matur nuwun marang Gusti sing Maha Agung, dene wis maringi sawijining putra sing bagus, nggregetake."
Beliau sangat mencintai dan memanjakan putranya itu.,Panjenengane banget anggone nresani lan ngugung putrane iku.
"Sejak kecil, beliau sudah mengajari putranya itu ilmu bela diri.","Wiwit cilik, panjenengane wis ngajari putrane iku ngelmu kanuragan."
Beliau berharap besok Raden Anom Pamungkas bisa jadi seorang satria unggul.,Panjenengane ngajab esuk Raden Anom Pamungkas bisa dadi sawijining satriya pinunjul.
Ternyata ilmu yang hebat itu malah membuat putranya salah tindakan.,Pranyata ngelmu sing hebat iku malah agawe putrane keblinger.
"Tidak jadi satria utama, malah putranya jadi seorang satria yang hebat yang angkuh dan selalu minta menangnya sendiri.","Ora dadi satriya utama, malah putrane dadi sawijining satriya sing digdaya sing angkuh lan tansah njaluk menange dhewe."
Ilmunya digunakan untuk menindas dan menakuti orang lain.,Ngelmune digunakake kanggo nindhes lan medeni wong liya.
Malah putranya itu sudah berani membantah orang tuanya.,Malah putrane iku wis wani mbantah wong tuwane.
"Kangmas, saya khawatir sekali melihat puta kita sendiri.","Kangmas, dalem kuwatos sanget ngawuningani putranipun piyambak."
Ucap Dewi Hapsari sambil mengeluh kepada suaminya.,Ature Dewi Hapsari karo sambat marang garwane.
Adipati Wirapati melihat istrinya sambil mengangguk.,Adipati Wirapati mriksani garwane karo manthuk.
"Saya juga begitu Yayi, saya tidak menyangka Raden Anom Pamungkas yang kita harap jadi satria sejati sekarang malah seperti begitu.","Ingsun uga mangkono Yayi, ingsun ora nyana Raden Anom Pamungkas sing kita ajab dadi satriya sejati saiki malah kaya ngono."
Adipati Wirapati sekalian diam sambil menunduk.,Adipati Wirapati sekaliyan mendel karo ndhingkluk.
Sorot matanya Adipati Wirapati sekalian kelihatan gelap menandakan kekecewaan hatinya yang dalam.,Soroting netrane Adipati Wirapati sekaliyan katon peteng mratandhakake kuciwaning penggalihe sing njero.
"Kangmas, apakah yang harus kita lakukan?","Kangmas, punapa ingkang kedah kita tindakaken?"
Tanya Dewi Hapsari kepada suaminya.,Pitakone Dewi Hapsari marang garwane.
Dirinya memandang suaminya dengan matanya berkaca-kaca.,Dheweke mriksani garwane karo mripate kembeng-kembeng waspa.
Yayi jangan sedih pikiranmu!,Yayi aja sedhih penggalihira!
Ucap Sang Adipati dengan merangkul istrinya.,Ature Sang Adipati karo ngrangkul garwane.
Dirinya mencoba menghibur hati istrinya yang sedang sedih.,Panjenengane nyoba nglipur penggalihe garwane sing lagi sedhih.
Tapi Dewi Hapsari tidak terhibur malah menangis tersedu-sedu di dada suaminya.,Nanging Dewi Hapsari ora kalipur malah muwun sesenggrukan ing dhadhane garwane.
"Sambil terus ngelus-elus rambut istrinya, Adipati Wirapati mikir bagaimana caranya yang pas untuk merubah kelakuan putranya itu.","Karo terus ngelus-elus rikamane garwane, Adipati Wirapati mikir kepriye carane sing pas kanggo ngowahi kelakuwane putrane iku."
Mendadak sebuah bayangan orang laki-laki tua terlintas di pikirannya Sang Adipati.,Dumadakan sawijining wewayangan wong lanang tuwa cumithak ana ing pikirane Sang Adipati.
Dirinya kemudian tersenyum.,Panjenengane banjur mesem.
"Yayi, jangan sedih hatimu.","Yayi, aja sedhih penggalihmu."
Kangmas memiliki cara untuk merubah kelakuannya yang bandel putra kita.,Kangmas kagungan cara kanggo ngowahi kelakuwane sing mbandhel putrane dhewe.
"Benar, Kangmas? Tanya Dewi Hapsari.","Leres, Kangmas? Pitakone Dewi Hapsari."
"Iya, Yayi. Jawab Sang Adipati.","Iya, Yayi. Wangsulane Sang Adipati."
bagaiman caranya? Tanya Dewi Hapsari kembali.,Kadospundi caranipun? Pitakone Dewi Hapsari maneh.
"Yayi, apa kamu teringat kepada Begawan Tunggul Manik.","Yayi, apa sira kelingan marang Begawan Tunggul Manik."
Apa pertapa yang sakti di Pegunungan Dieng itu?,Punapa marapata ingkang sekti ing Pareden Dieng punika?
Benar.,Bener.
Apa hubungan putra kita dengan dirinya?,Menapa gandheng cenengipun putra kita kaliyan punika?
"Saya ingin menyuruh putramu supaya berguru kepada beliau Begawan Tunggul Manik disamping sakti juga bijaksana.
Mudah-mudahan putra kita bisa jadi seorang satria sejati di dalam bimbingannya.","Ingsung arep ndhawuhi putramu supaya maguru marang panjenengane Begawan Tunggul Manik kejaba sekti uga wicaksana.
Muga-muga putrane dhewe bisa dadi sawijining satriya sejati ing sajroning panggulawenthahe."
Wajah Dewi Hapsari jadi cerah.,Praupane Dewi Hapsari dadi padhang.
"Meskipun bekas air mata dan sedunya masih ada, tapi senyumnya sudah kelihatan di bibirnya.","Sanadyan tilas waspane lan sesenggrukane isih ana, nanging esemme wis katon ing lathine."
Kenapa? Berguru kepada Begawan Tunggul Manik? jawabnya ketus Raden Anom Pamungkas kepada Ayahnya Adipati Wirapati.,Menapa? Meguru dhumateng Begawan Tunggul Manik? wangsulane santak Raden Anom Pamungkas marang Ramane Adipati Wirapati.
"Benar, Anom. Ucap Sang Adipati.","Bener, Anom. Pangandikane Sang Adipati."
"Raden Anom Pamungkas mengerutkan alisnya, memonyongkan bibirnya.","Raden Anom Pamungkas njengkerutake alise, njegadul lathine."
"Anom, kamu harus memnuhi permintaan Ayahmu.","Anom, sira kudu nyendikani dhawuhe Ramanira."
Begawan Tunggul Manik iku seorang begawan yang sekti.,Begawan Tunggul Manik iku sawijining begawan sing sekti.
Kamu bisa belajar segalanya dari beliau. Kata Dewi Hapsari kepada putranya.,Sira bisa nyinau samubarang saka panjenengane. Ngendikane Dewi Hapsari marang putrane.
Huh! Ibu tidak usah membujuk saya.,Huh! Ibu boten usah ngrimuk dalem.
Saya tidak mau berguru lagi!,Dalem boten purun maguru malih!
Anom kamu jangan seperti itu! Bentak Dewi Hapsari kepada putranya.,Anom sira aja kaya mangkono! Panggetake Dewi Hapsari marang putrane.
Dirinya merasa kesal dengan kelakuan putranya yang sama sekali tidak menghormati kepada orang tua.,Panjenengane rumangsa anyel karo kelakuwane putrane sing babar pisan ora ngajeni marang wong tuwa.
Anom kamu masih muda.,Anom sira masih enom.
"Meskipun ilmu bela diri yang kamu memiliki sekarang sudah tinggi, tapi apa salahnya jika kamu memperluas wawasan.","Sanadyan ngelmu kanuragan sing sira duweni saiki wis dhuwur, nanging apa salahe manawa sira njembarake wawasan."
Kamu tidak boleh meremehkan Begawan Tunggul Manik.,Sira ora ngena ngeremehake Begawan Tunggul Manik.
Dirinya itu seorang begawan yang sakti.,Panjenengane iku sawijining begawan sing sekti.
Jika kamu berguru dengan beliau kesaktianmu akan semakin menjadi-jadi.,Manawa sira maguru panjenengane kasektenmu bakal saya ngedab-edabi.
"Tidak Rama! Sekali saya bilang tidak, iya tidak!","Boten Rama! Sepindhah dalem matur boten, inggih boten!"
"Begawan Tunggul Manik cuma seorang orang tua pikun yang sebentar lagi akan masuk kuburan, bisa apa beliau.","Begawan Tunggul Manik namung sawijining tiyang sepuh pikun ingkang sakedhap malih badhe mlebet kuburan, saged menapa piyambakipun."
"Apa lagi jadi guru saya, menandingi saya beberapa jurus saja beliau tentu kewalahan.","Menapa malih dados guru dalem, nandhingi dalem sawatawis jurus kemawon piyambakipun mesthi kewalahan."
Kata Raden Anom Pamungkas dengan mencibir.,Ature Raden Anom Pamungkas karo menceb.
Wajahnya Sang Adipati berkerut menandakan dirinya marah sekali.,Wajahe Sang Adipati kerot tandha panjenengane duka banget.
Memang kurang ajar benar anak ini.,Pancen kurang ajar tenan bocah iki.
Sudah berani mecela keinginan yang baik orang tuanya.,Wis wani mancahi kekarepane sing becik wong tuwane.
Malah sudah berani menghina seorang begawan sakti seperti Begawan Tunggul Manik.,Malah wis wani ngina sawijining begawan sekti kaya Begawan Tunggul Manik.
Tapi Sang Adipati yang bijaksana itu bisa menahan marahnya.,Ananging Sang Adipati sing wicaksana iku bisa nahan dukane.
"Baik, jika itu yang jadi kemauanmu, terserah.","Becik, manawa iku sing dadi kekarepanira, borong."
"Tapi kamu harus pergi dari sini, dari rumah ini.","Nanging sira kudu lunga saka kene, saka omah kene."
"Jika kamu masih sombong, angkuh, seperti itu, jangan sekali-sekali kamu mengaku saya orang tuamu!","Manawa sira isih angkuh, gumedhe, kumingsun kaya iku, aja pisan-pisan sira ngaku ingsun wong tuwamu!"
"Kangmas! Teriak Dewi Hapsari sambil menangis mendengar ucapan suaminya, sedangkan Raden Anom Pamungkas tertegun hatinya.","Kangmas! Pambengoke Dewi Hapsari karo muwun mireng pangendikane garwane, dene Raden Anom Pamungkas legeg penggalihe."
Seumur hidup baru itu dirinya mendengar Ayahnya berbicara seperti begitu itu.,Salawase urip lagi iku dheweke krungu Ramane ngendika kaya ngono iku.
"Memang anak bandel kalau meminta maaf atau merubah sikepnya, dirinya malah marah.","Pancen bocah bandhel yen njaluka ngapura utawa ngowahi sikepe, dheweke malah nesu."
Dirinya menganggap jika Ayah dan Ibunya sudah tidak cinta lagi kepada dirinya.,Dheweke nganggep manawa Rama lan Ibune wis ora tresna maneh marang dheweke.
"Oh, jadi demikian kemauan Ayah.","Oh, dados mekaten kersanipun Rama."
Ayah sudah tidak mengharapkan saya tinggal disini lagi.,Rama sampun boten ngersakeken dalem manggon wonten mriki malih.
"Iya, iya sekarang juga saya pergi!","Inggih, inggih sapunika ugi dalem kesah!"
Dengan wajah yang merah padam Raden Anom Pamungkas pergi tanpa bicara.,Kanthi praupan kang abang ireng Raden Anom Pamungkas lunga klepas.
Anom! teriak Dewi Hapsari.,Anom! panjerite Dewi Hapsari.
"Maksud beliau ingin mengejar putranya yang sangat dicintai, tapi ditahan oleh suaminya.","Karepe panjenengane arep ngoyak putrane sing banget ditresnani, nanging dipenggak dening garwane."
Yayi jangan diikuti! Biarkan Dirinya pergi!,Yayi aja ditututi! Kareben Dheweke lunga!
"Jika yayi menyayangi putramu, kamu harus mengikhlaskan dirinya pergi.","Manawa yayi nresnani putramu, sira kudu ngeklasake dheweke lunga."
"Kalau dirinya ada terus di sini, dirinya semakin sombong, saya angkuh.","Yen dheweke ana terus ing kene, dheweke saya angkuh, saya gumedhe."
Biarkan dirinya pergi untuk memperluas wawasan.,Kareben dheweke lunga kanggo njembarake wawasan.
Biarkan dirinya merasakan bagaimana susahnya hidup.,Kareben dheweke ngerasakake sepira angele urip.
Sebab segalanya harus dijalani dengan bekerja keras.,Sebab samubarang kudu dilakoni kanthi nyambut gawe mempeng.
Kalau Anom pergi untuk berguru kepada Begawan Tunggul Manik tentu saya mengikhlaskan.,Menawi Anom kesah kangge maguru dhumateng Begawan Tunggul Manik tentu dalem ngekhlasaken.
"Tapi sekarang dirinya pergi dalam keadaan marah, tidak tentu tempat tujuannya.","Nanging sapunika piyambakipun kesah salebeting kaanan nepsu, boten kantenan papan jujuganipun."
Bagaimana nanti di jalan terjadi hal-hal yang tidak diinginkan?,Kadospundi manawi ing margi kedadosan bab-bab ingkang boten dipun kejangaken?
"Yayi, jangan mengkhawatirkan putramu dan jangan memiliki prasangka yang jelek.","Yayi, aja nguwatirake putramu lan aja duweni panyakrabawa sing ala."
Putra kita itu pemuda yang tidak bodoh.,Putrane dhewe iku nom-noman sing ora bodho.
"Dirinya pintar, ilmunya bela diri sudah tinggi.","Dheweke pinter, ngelumune kanuragan wis dhuwur."
Tidak ada orang jahat yang bisa mencelakai.,Ora ana wong ala sing bisa nyilakakake.
"Malah dengan merantau ini batinnya akan semakin kaya, dan moga-moga di sana dirinya akan jadi satria sejati seperti yang kita inginkan.","Malah kanthi ngulandara iki batine bakal saya sugih, lan muga-muga ing tembe dheweke bakal dadi satriya sejati kaya sing kita suwun."
"Dewi Hapsari diam, beliau menyetujui ucapan suaminya.","Dewi Hapsari mendel, panjenengane mbenerake ngendikane garwane."
Tapi hati seorang ibu belum bisa mengikhlaskan perginya putranya yang dicintai.,Nanging penggalihe sawijining ibu durung bisa ngekhlasake lungane putrane sing ditresnani.
"Raden Anom Pamungkas pergi begitu saja dari rumahnya, tanpa membawa bekal.","Raden Anom Pamungkas lunga ngono bae saka daleme, tanpa ngasta sangu."
"Dirinya tidak mau merendahkan dirinya, dengan membawa uang atau barang-barang milik Ayah Ibunya.","Dheweke ora gelem ngasorake awake, kanthi nggawa dhuwit utawa barang-barang kagungane Rama Ibune."
"Dirinya kepingin membuktikan kepada orang tuanya, jika tanpa Ayah dan Ibunya dirinya juga bisa menjalani hidup sekarang.","Dheweke kepengin mbuktekake marang wong tuwane, manawa tanpa Rama lan Ibune dheweke uga bisa ngelakoni urip saiki."
"Beberapa hari merantau, Raden Anom Pamungkas hidup di tengah hutan.","Sawatara dina anggone ngulandara, Raden Anom Pamungkas urip ana tengah alas."
Dirinya berjalan dari hutan satu ke hutan lainnya.,Dheweke lumaku saka alas siji menyang alas liyane.
Jika lapar dirinya mencari hewan-hewan di hutan yang bisa dimakan atau mencari buha-buahan.,Manawa luwe dheweke golek kewan-kewan ing alas sing bisa dipangan utawa golek woh-wohan.
Jika haus dirinya mencari kali atau mata air dan meminum airnya yang jernih.,Manawa ngelak dheweke golek kali utawa tuk lan ngombe banyune sing bening.
Semakin lama Raden Anom Pamungkas bosan dengan kehidupannya.,Suwening suwe Raden Anom Pamungkas bosen karo panguripane.
Dirinya kemudian menetapkan akan keluar dari hutan dan pergi ke kota atau desa.,Dheweke banjur netepake bakal metu saka alas lan lunga menyang kutha utawa desa.
Setelah berjalan selama dua bulan akhirnya Raden Anom Pamungkas menemukan sebuah tempat yang pas untuk tinggal.,Sawise mlaku sajrone rong sasi wusanane Raden Anom Pamungkas nemokake sawijining panggonan sing pas kanggo manggon.
"Kota itu namanya Wonogiri, sebuah kota kecil tapi cukup ramai, jauh dari punjering kutha.","Kutha itu jenenge Wonogiri, sawijining kutha cilik nanging cukup reja, adoh saka punjering kutha."
"Di sini dirinya percaya tidak ada orang yang mengenali, sehingga dirinya dengan bebas bisa melakukan apa saja.","Ing kene dheweke percaya ora ana wong sing ngenali, saengga dheweke kanthi kobet bisa nindakake apa bae."
Di saat itu perutnya Raden Anom Pamungkas terasa lapar.,Ing wektu iku wetenge Raden Anom Pamungkas krasa luwe.
Dirinya kemudian mencari warung makan untuk sekedar mengganjal perutnya.,Dheweke banjur golek warung mangan kanggo saderma ngganjel wetenge.
Meskipun tidak punya uang Raden Anom Pamungkas mencari warung makan yang besar dan yang mewah di kota itu.,Sanadyan ora duwe dhuwit Raden Anom Pamungkas golek warung mangan sing gedhe lan sing mewah ing kutha iku.
Setelah Raden Anom Pamungkas menemukan warung makan itu dirinya kemudian masuk dan duduk di pojok kamar.,Sawise Raden Anom Pamungkas nemokake warung mangan iku dheweke banjur mlebu lan lungguh ing pojoking kamar.
Dari tempat itu dirinya bisa bebas melihat tamu dan suasana di sana.,Saka panggonan iku dheweke bisa kobet weruh tamu lan swasana ing kono.
Tidak berapa lama ada seorang pelayan dengan pakaian serba biru mendekati kepada dirinya.,Ora watara suwe ana sawijining jongos nganggo pakeyan sarwa biru nyerak marang dheweke.
"Mas, mau pesan apa? Tanya pelayan itu dengan hormat.","Mas, badhe pesen menapa? Pitakone jongos iku kanthi kurmat."
Keluarkan semua masakanmu yang paling enak!,Wetokna kabeh mangsakanmu sing paling enak!
"Pelayan itu kelihatan kaget, pemuda di depannya sederhana sekali.","Jongos iku katon kaget, nom-noman ing ngarepe prasaja banget."
Apa dirinya punya uang untuk membayar makanan-makanan yang mahal di restoran ini?,Apa dheweke duwe dhuwit kanggo mbayar panganan-panganan sing larang ing restoran ini?
Melihat ragu-ragunya pelayan itu Raden Anom Pamungkas hatinya kesal sekali.,Weruh mangu-mangune jongos iku Raden Anom Pamungkas atine anyel banget.
Dirinya kemudian menusukkan jarinya dua di atas meja jati yang keras.,Dheweke banjur nyoblosake drijine loro ing sakdhuwuring meja jati sing atos.
Jari dua itu masuk kedalam sampai beberapa sentimeter.,Driji loro iku mblesek menjero nganti sawatara sentimeter.
"Pelayan itu matanya melotot, dirinya ketakutan.","Jongos iku mripate mendelik, dheweke kaweden."
Sepertinya pemuda yang tampan di depan memiliki kesaktian yang hebat.,Sajake nom-noman sing bagus ing ngarepe duweni kesakten sing ampuh.
Cepat disiapkan! Jika tidak kepalamu akan kulobang seperti begini ini!,Cepet disiapake! Yen ora sirahmu bakal dakbolong kaya ngene iki!
Iya Tuan.,Inggih Den.
Pelayan itu tidak menjawab kembali.,Jongos iku ora wangsulan maneh.
Dirinya takut sekali.,Dheweke wedi banget.
Suro kamu itu ada apa? Tanya yang punya warung makan.,Suro kowe kuwi kena apa? Pitakone sing duwe warung mangan.
"Tuan, ada seseorang orang sakti makan di warung kita.","Den, wonten sawijining tiyang sekti nedha ing warung kita."
Dirinya pesan makanan yang mewah dan mahal.,Piyambakipun pesen tetedhan ingkang mewah lan awis.
"Kalau begitu cepat dilayani, menunggu apa lagi!","Menawa mangkono cepet diladeni, ngenteni apa maneh!"
Tapi dirinya tidak punya uang banyak.,Nanging piyambakipun boten gadhah arta kathah.
Bagaimana kalau dirinya tidak bisa membayar makanan tersebut?,Kadospundi manawi piyambakipun boten saged mbayar tetedhan punika?
Yang punya warung makan itu mengelus-elus jenggotnya.,Sing duwe warung mangan iku ngelus-ngelus janggute.
"Ya sudah, siapkan makanan yang dipesan dirinya.","Ya wis, siapna panganan sing dipesen dheweke."
"Jika dirinya tidak bisa membayar, biar tukang-tukang pukul aku sendiri yang maju.","Manawa dheweke ora bisa mbayar, kareben tukang-tukang kepruk awake dhewe sing maju."
Pelayan itu cepat menyiapkan makanan yang dipesan oleh Raden Anom Pamungkas.,Jongos iku enggal nyiapake panganan sing dipesen dening Raden Anom Pamungkas.
Dirinya cepat-cepat makan dengan menyenangkan.,Dheweke enggal-enggal mangan kanthi nyenengake.
"Setelah perutnya kenyang, Raden Anom Pamungkas merasa ngantuk.","Sawise wetenge wareg, Raden Anom Pamungkas krasa ngantuk."
"Kebetulan di sana juga disediakan penginapan, dirinya pesan kepada pelayan itu supaya disediakan kamar yang paling bagus.","Kebeneran ing kono uga disedhiani penginepan, dheweke pesen marang jongos iku supaya disedhiani kamar sing paling becik."
"Tapi Tuan, makanan ini belum dibayar.","Nanging Den, dhaharan punika dereng dipunbayar."
"Kalau anda mau menginap, harus membayar dulu makanan ini.","Menawi panjenengan badhe nginep, kedah mbayar rumiyin dhaharan punika."
Raden Anom Pamungkas mengomel kesal.,Raden Anom Pamungkas nggrundel anyel.
"Pelayan! Kamu sudah berani membantah perintahku, kamu apa minta dilobangi kepalamu!","Jongos! Kowe wis wani mbantah prentahku, kowe apa njaluk dakbolong endhasmu!"
Ancam Raden Anom Pamungkas.,Pangancame Raden Anom Pamungkas.
"maaf Tuan, tapi.","Ngapunten Den, nanging."
Tidak ada tapi-tapian! Cepat disiapkan kamar yang nyaman!,Ora ana nanging-nangingan! Cepet disiapake kamar sing nyaman!
Seperti begini caranya orang yang gagah.,Kaya ngene carane wong sing gagah.
Tidak punya uang berani-beraninya mengancam pelayan yang lemah.,Ora duwe dhuwit wani-wanine ngancem jongos sing ringkih.
"Jika kamu satria, coba hadapi aku.","Manawa kowe satriya, coba adhepana aku."
Mendadak sudah ada orang tiga badannya kekar besar dan kumisnya sekepal sudah mengelilingi bangku Raden Anom Pamungkas.,Dumadakan wis ana wong telu awake keker gedhe lan brengose sakepel wis ngubengi bangku Raden Anom Pamungkas.
Jadi kamu semua menantang aku!,Dadi kowe kabeh nantang aku!
Tanya Raden Anom Pamungkas dengan berdiri dari kursi.,Pitakone Raden Anom Pamungkas karo ngadeg saka kursi.
"Tentu saja, kamu sudah membuat ribut di warung makan sini.","Mesthi bae, kowe wis gawe kisruh ing warung mangan kene."
Aku dengan teman-teman sebagai petugas keamanan tidak akan diam!,Aku sakanca minangaka punggawa keamanan ora bakal meneng!
"Baik, coba aku kepingin mengerti sampai mana kepandaianmu!","Becik, coba aku kepengin ngerti tekan ngendi kepinteranmu!"
"Pemuda itu mengambil piring-piring yang sudah kosong dari mejanya, kemudian dilemparkan dengan cepat kepada tukang pukul itu.","Nom-noman iku njupuk piring-piring sing wis kothong saka mejane, banjur dibalangake kanthi cepet marang tukang kepruk iku."
Para tukang pukul itu kaget sekali.,Para tukang kepruk iku kaget banget.
Tahu-tahu piring-piring itu sudah menyerang lehernya.,Ngerti-ngerti piring-piring iku wis nyerang gulune.
"Mereka cepat mwnghindar, tapi tidak ujung piring mengiris kulit di leher.","Dheweke enggal endha, nanging ora wurung pucuking piring ngiris kulit ing gulu."
"Orang tiga itu teriak kesakitan, karena lehernya berdarah.","Wong telu iku padha mbengok kelaran, amarga gulune getihen."
Raden Anom Pamungkas tersenyum sambil mengejek.,Raden Anom Pamungkas mesem karo ngece.
Ternyata cuma seperti itu kepandaianmu! Memalukan,Tibane mung kaya ngono kepinteranmu! Ngisin-isini!
"Mendengar penghinaan itu tukang-tukang pukul itu jadi marah, dirinya kemudian mencabut goloknya yang diselipkan di pinggangnya dan bersamaan menyerang Raden Anom Pamungkas.","Krungu pangenyek iku tukang-tukang kepruk iku dadi nesu, dheweke banjur njabut goloke sing diselipake ing lempenge lan bebarengan nyerang Raden Anom Pamungkas."
Raden Anom Pamungkas tidak menghindar dirinya menghadapi serangan itu dengan tertawa-tawa.,Raden Anom Pamungkas ora endha dheweke ngadhepi serangan iku karo ngguya-ngguyu.
Para tamu yang melihat kejadian itu melihat dengan was-was.,Para tamu sing weruh kedadeyan iku nyawang kanthi was-was.
"Pemuda itu memang nekat, tidak lama lagi dirinya tentu mati.","Nom-noman iku pancen nekat, ora suwe maneh dheweke mesthi mati."
"Tapi seperti apa kagetnya orang-orang tadi, ternyata bukan badan pemuda itu yang robek tapi golok-golok yang mengenai diri pemuda yang patah.","Nanging kaya ngapa kagete wong-wong mau, pranyata dudu awake nom-noman iku sing suwek nanging golok-golok sing ngenani awake nom-noman sing padha tugel."
Sepertinya badan pemuda itu dilapisi baja tebal yang tidak tembus senjata.,Kaya-kaya awake nom-noman iku dialing-alingi waja kandel sing ora tedhas gegaman.
